voter_id,president_vote_0,president_vote_1,president_vote_2,president_vote_3,president_vote_4,stability,stability_score,consistency_level
17,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
75,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
22,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
24,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
84,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
83,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
77,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
38,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
93,trump,kamala,kamala,kamala,trump,"[1,0,0,0,1]",0.60,medium
45,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
19,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
5,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
61,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
40,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
81,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
70,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
30,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
35,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
20,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
68,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
14,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
4,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
51,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
6,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
74,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
76,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
8,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
47,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
1,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
31,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
7,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
26,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
92,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
33,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
52,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
25,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
82,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
34,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
18,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
72,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
54,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
43,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
21,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
60,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
85,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
49,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
29,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
11,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
62,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
88,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
39,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
44,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
96,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
58,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
90,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
69,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
65,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
32,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
37,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
23,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
73,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
50,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
79,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
55,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
10,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
16,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
27,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
57,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
36,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
53,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
98,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
97,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
13,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
