voter_id,wa_senator_0,wa_senator_1,wa_senator_2,wa_senator_3,wa_senator_4,stability,stability_score,consistency_level
68,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
47,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
30,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
59,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
32,raul,raul,raul,raul,maria,"[1,1,1,1,0]",0.80,high
51,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
67,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
64,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
8,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
87,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
74,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
97,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
95,raul,raul,raul,,raul,"[1,1,1,-1,1]",0.80,high
82,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
96,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
36,maria,maria,maria,maria,,"[0,0,0,0,-1]",0.80,high
34,raul,raul,raul,raul,,"[1,1,1,1,-1]",0.80,high
72,raul,raul,raul,raul,,"[1,1,1,1,-1]",0.80,high
12,raul,raul,raul,raul,,"[1,1,1,1,-1]",0.80,high
69,raul,raul,raul,raul,,"[1,1,1,1,-1]",0.80,high
61,raul,raul,raul,raul,,"[1,1,1,1,-1]",0.80,high
84,raul,,,maria,,"[1,-1,-1,0,-1]",0.60,medium
86,maria,,,,,"[0,-1,-1,-1,-1]",0.80,high
65,raul,raul,raul,raul,,"[1,1,1,1,-1]",0.80,high
50,raul,raul,raul,raul,,"[1,1,1,1,-1]",0.80,high
4,,,,maria,maria,"[-1,-1,-1,0,0]",0.60,medium
