voter_id,president_vote_0,president_vote_1,president_vote_2,president_vote_3,president_vote_4,stability,stability_score,consistency_level
19,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
8,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
22,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
11,kamala,kamala,trump,kamala,kamala,"[0,0,1,0,0]",0.80,high
33,trump,kamala,kamala,trump,kamala,"[1,0,0,1,0]",0.60,medium
99,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
55,trump,trump,kamala,kamala,trump,"[1,1,0,0,1]",0.60,medium
76,kamala,trump,trump,trump,trump,"[0,1,1,1,1]",0.80,high
46,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
63,trump,kamala,trump,kamala,trump,"[1,0,1,0,1]",0.60,medium
13,kamala,trump,kamala,trump,kamala,"[0,1,0,1,0]",0.60,medium
27,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
81,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
79,trump,kamala,trump,trump,trump,"[1,0,1,1,1]",0.80,high
52,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
62,trump,trump,kamala,kamala,trump,"[1,1,0,0,1]",0.60,medium
21,trump,trump,kamala,trump,trump,"[1,1,0,1,1]",0.80,high
34,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
75,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
54,kamala,kamala,kamala,,kamala,"[0,0,0,-1,0]",0.80,high
20,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
44,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
6,trump,trump,trump,kamala,trump,"[1,1,1,0,1]",0.80,high
92,trump,kamala,trump,trump,kamala,"[1,0,1,1,0]",0.60,medium
90,kamala,kamala,kamala,trump,kamala,"[0,0,0,1,0]",0.80,high
25,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
40,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
83,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
30,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
9,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
32,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
82,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
53,kamala,kamala,trump,trump,kamala,"[0,0,1,1,0]",0.60,medium
95,trump,trump,trump,trump,kamala,"[1,1,1,1,0]",0.80,high
10,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
68,trump,trump,trump,trump,kamala,"[1,1,1,1,0]",0.80,high
71,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
72,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
56,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
84,trump,trump,kamala,kamala,trump,"[1,1,0,0,1]",0.60,medium
66,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
67,kamala,kamala,kamala,,kamala,"[0,0,0,-1,0]",0.80,high
36,trump,trump,kamala,,trump,"[1,1,0,-1,1]",0.60,medium
26,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
69,trump,kamala,kamala,kamala,kamala,"[1,0,0,0,0]",0.80,high
74,kamala,kamala,trump,trump,trump,"[0,0,1,1,1]",0.60,medium
91,trump,kamala,trump,,trump,"[1,0,1,-1,1]",0.60,medium
88,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
85,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
97,trump,kamala,trump,,kamala,"[1,0,1,-1,0]",0.40,low
89,trump,trump,kamala,,kamala,"[1,1,0,-1,0]",0.40,low
4,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
17,kamala,kamala,trump,trump,,"[0,0,1,1,-1]",0.40,low
39,,,kamala,,,"[-1,-1,0,-1,-1]",0.80,high
