voter_id,wa_senator_0,wa_senator_1,wa_senator_2,wa_senator_3,wa_senator_4,stability,stability_score,consistency_level
56,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
45,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
96,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
60,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
50,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
75,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
20,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
3,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
98,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
14,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
47,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
72,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
83,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
52,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
78,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
73,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
41,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
38,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
58,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
34,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
46,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
12,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
39,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
66,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
59,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
4,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
61,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
71,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
13,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
19,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
70,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
16,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
33,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
77,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
7,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
94,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
64,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
67,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
43,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
90,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
88,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
82,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
95,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
99,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
11,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
23,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
40,unknown,unknown,unknown,unknown,unknown,"[2,2,2,2,2]",1.00,high
53,cantwell,cantwell,cantwell,cantwell,cantwell,"[0,0,0,0,0]",1.00,high
17,garcia,garcia,garcia,garcia,garcia,"[1,1,1,1,1]",1.00,high
