voter_id,attorney_general_0,attorney_general_1,attorney_general_2,attorney_general_3,attorney_general_4,stability,stability_score,consistency_level
47,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
2,nick,nick,nick,nick,pete,"[0,0,0,0,1]",0.60,medium
3,pete,unknown,unknown,unknown,pete,"[1,2,2,2,1]",0.40,low
32,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
74,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
19,unknown,unknown,unknown,unknown,nick,"[2,2,2,2,0]",0.60,medium
81,unknown,unknown,unknown,unknown,pete,"[2,2,2,2,1]",0.60,medium
18,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
75,nick,nick,,nick,nick,"[0,0,-1,0,0]",0.60,medium
57,nick,nick,nick,nick,nick,"[0,0,0,0,0]",1.00,high
63,unknown,,unknown,,,"[2,-1,2,-1,-1]",0.40,low
94,nick,unknown,unknown,unknown,nick,"[0,2,2,2,0]",0.40,low
58,pete,,pete,pete,pete,"[1,-1,1,1,1]",0.60,medium
4,nick,,nick,nick,pete,"[0,-1,0,0,1]",0.30,low
38,unknown,,unknown,unknown,pete,"[2,-1,2,2,1]",0.30,low
88,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
26,pete,pete,pete,pete,pete,"[1,1,1,1,1]",1.00,high
99,pete,,pete,pete,,"[1,-1,1,1,-1]",0.40,low
61,pete,,pete,pete,,"[1,-1,1,1,-1]",0.40,low
20,nick,nick,nick,nick,pete,"[0,0,0,0,1]",0.60,medium
62,pete,,pete,pete,pete,"[1,-1,1,1,1]",0.60,medium
68,unknown,unknown,unknown,unknown,nick,"[2,2,2,2,0]",0.60,medium
82,nick,nick,pete,nick,nick,"[0,0,1,0,0]",0.60,medium
95,pete,,pete,pete,pete,"[1,-1,1,1,1]",0.60,medium
70,nick,,nick,pete,,"[0,-1,0,1,-1]",0.20,low
9,,nick,nick,nick,nick,"[-1,0,0,0,0]",0.60,medium
59,,,nick,nick,nick,"[-1,-1,0,0,0]",0.40,low
16,,,pete,,,"[-1,-1,1,-1,-1]",0.60,medium
69,,,,,pete,"[-1,-1,-1,-1,1]",0.60,medium
