voter_id,wa_senator_0,wa_senator_1,wa_senator_2,wa_senator_3,wa_senator_4,stability,stability_score,consistency_level
78,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
100,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
5,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
21,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
77,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
56,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
17,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
2,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
55,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
65,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
97,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
26,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
23,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
30,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
42,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
86,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
49,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
90,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
66,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
22,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
80,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
79,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
91,raul,raul,maria,raul,raul,"[1,1,0,1,1]",0.80,high
92,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
93,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
32,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
33,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
73,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
1,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
60,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
16,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
43,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
13,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
74,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
70,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
64,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
37,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
48,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
24,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
58,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
53,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
81,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
40,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
99,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
46,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
52,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
45,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
20,maria,maria,maria,maria,maria,"[0,0,0,0,0]",1.00,high
44,raul,raul,raul,raul,raul,"[1,1,1,1,1]",1.00,high
