voter_id,supreme_court_0,supreme_court_1,supreme_court_2,supreme_court_3,supreme_court_4,stability,stability_score,consistency_level
83,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
10,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
51,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
98,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
67,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
56,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
90,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
68,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
55,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
59,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
82,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
16,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
62,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
94,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
46,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
41,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
8,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
96,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
86,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
1,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
97,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
19,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
20,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
72,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
47,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
74,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
77,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
78,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
27,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
40,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
34,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
7,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
52,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
24,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
42,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
100,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
23,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
45,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
79,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
54,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
39,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
17,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
61,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
57,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
35,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
66,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
31,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
44,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
11,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
13,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
65,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
38,larson,larson,mungia,larson,mungia,"[0,0,1,0,1]",0.60,medium
28,mungia,mungia,mungia,mungia,mungia,"[1,1,1,1,1]",1.00,high
63,larson,larson,larson,larson,larson,"[0,0,0,0,0]",1.00,high
