voter_id,president_vote_0,president_vote_1,president_vote_2,president_vote_3,president_vote_4,stability,stability_score,consistency_level
16,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
9,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
64,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
59,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
77,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
52,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
76,kamala,kamala,kamala,kamala,trump,"[0,0,0,0,1]",0.80,high
100,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
86,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
48,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
73,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
32,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
81,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
51,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
41,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
46,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
37,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
90,kamala,kamala,kamala,kamala,trump,"[0,0,0,0,1]",0.80,high
69,kamala,kamala,kamala,kamala,trump,"[0,0,0,0,1]",0.80,high
15,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
62,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
57,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
28,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
20,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
5,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
98,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
95,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
60,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
30,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
43,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
49,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
34,kamala,kamala,kamala,kamala,trump,"[0,0,0,0,1]",0.80,high
36,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
7,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
87,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
50,kamala,kamala,kamala,kamala,trump,"[0,0,0,0,1]",0.80,high
21,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
35,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
91,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
22,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
71,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
66,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
42,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
55,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
17,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
56,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
19,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
85,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
14,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
67,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
54,kamala,kamala,kamala,kamala,trump,"[0,0,0,0,1]",0.80,high
83,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
18,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
44,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
31,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
61,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
39,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
82,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
12,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
89,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
70,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
1,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
45,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
26,kamala,kamala,kamala,trump,kamala,"[0,0,0,1,0]",0.80,high
68,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
97,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
94,kamala,kamala,kamala,kamala,trump,"[0,0,0,0,1]",0.80,high
25,trump,trump,trump,trump,trump,"[1,1,1,1,1]",1.00,high
13,kamala,kamala,kamala,kamala,trump,"[0,0,0,0,1]",0.80,high
92,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
47,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
3,kamala,kamala,kamala,kamala,kamala,"[0,0,0,0,0]",1.00,high
